code,name,image
0182,TPU 復古綠,images/aks_colorppf_GTPU-0182.jpg
0183,TPU 蠟灰 (Retro),images/aks_colorppf_GTPU-0183.jpg
0184,TPU 薄荷綠 (Porsche),images/aks_colorppf_GTPU-0184.jpg
0185,TPU 迷幻綠 (Porsche),images/aks_colorppf_GTPU-0185.jpg
0188,TPU 岩嶼綠,images/aks_colorppf_GTPU-0188.jpg
0189,TPU 邁森藍,images/aks_colorppf_GTPU-0189.jpg
0190,TPU 冰川藍 C,images/aks_colorppf_GTPU-0190.jpg
0191,TPU 高亮海風藍,images/aks_colorppf_GTPU-0191.jpg
0192,TPU 薰衣草紫,images/aks_colorppf_GTPU-0192.jpg
0193,TPU 沙漠黃 (Benz),images/aks_colorppf_GTPU-0193.jpg
0194,TPU 甜菜根紫,images/aks_colorppf_GTPU-0194.jpg
0195,TPU 北極白,images/aks_colorppf_GTPU-0195.jpg
0197,TPU 撒哈拉黃,images/aks_colorppf_GTPU-0197.jpg
0199,TPU 葵花黃,images/aks_colorppf_GTPU-0199.jpg
0200,TPU 古巴沙色,images/aks_colorppf_GTPU-0200.jpg
0204,TPU 緞面軍綠,images/aks_colorppf_GTPU-0204.jpg
0206,TPU 緞面卡其綠,images/aks_colorppf_GTPU-0206.jpg
0207,TPU 緞面沙漠黃,images/aks_colorppf_GTPU-0207.jpg
0208,TPU 消光鯊魚灰,images/aks_colorppf_GTPU-0208.jpg
0209,TPU 消光鋼灰,images/aks_colorppf_GTPU-0209.jpg
0211,TPU 液態金屬紫,images/aks_colorppf_GTPU-0211.jpg
0213,TPU 液態金屬鎢鋼,images/aks_colorppf_GTPU-0213.jpg
0215,TPU 液態索瑪托藍,images/aks_colorppf_GTPU-0215.jpg
0218,TPU 液態金屬蒼嶺綠,images/aks_colorppf_GTPU-0218.jpg
0220,TPU 液態金屬香檳金,images/aks_colorppf_GTPU-0220.jpg
0221,TPU 液態金屬慕斯白,images/aks_colorppf_GTPU-0221.jpg
0222,TPU 液態金屬水銀,images/aks_colorppf_GTPU-0222.jpg
0232,TPU 液態金屬櫻桃紅,images/aks_colorppf_GTPU-0232.jpg
0233,TPU 液態金屬咖啡,images/aks_colorppf_GTPU-0233.jpg
0236,TPU 緞面液態金屬湛藍,images/aks_colorppf_GTPU-0236.jpg
0237,TPU 緞面液態金屬戰鬥綠,images/aks_colorppf_GTPU-0237.jpg
0238,TPU 夢幻粉,images/aks_colorppf_GTPU-0238.jpg
0241,TPU 金屬漆香檳金,images/aks_colorppf_GTPU-0241.jpg
0243,TPU 阿奎拉金屬,images/aks_colorppf_GTPU-0243.jpg
0245,TPU 彩虹祖母綠,images/aks_colorppf_GTPU-0245.jpg
0246,TPU 金屬高山綠,images/aks_colorppf_GTPU-0246.jpg
0251,TPU 索諾瑪綠,images/aks_colorppf_GTPU-0251.jpg
0252,TPU 哈德林綠,images/aks_colorppf_GTPU-0252.jpg
0254,TPU 曼巴綠,images/aks_colorppf_GTPU-0254.jpg
0257,TPU 皇家綠,images/aks_colorppf_GTPU-0257.jpg
0260,TPU 祖母石綠,images/aks_colorppf_GTPU-0260.jpg
0261,TPU 抒情銅,images/aks_colorppf_GTPU-0261.jpg
0262,TPU 黑櫻桃酒,images/aks_colorppf_GTPU-0262.jpg
0263,TPU 金屬藍,images/aks_colorppf_GTPU-0263.jpg
0265,TPU 金屬雪邦藍,images/aks_colorppf_GTPU-0265.jpg
0266,TPU 金屬GT 紫,images/aks_colorppf_GTPU-0266.jpg
0267,TPU 金屬霧藍,images/aks_colorppf_GTPU-0267.jpg
0269,TPU 金屬漆冰川藍 A,images/aks_colorppf_GTPU-0269.jpg
0270,TPU 金屬水晶古銅,images/aks_colorppf_GTPU-0270.jpg
0271,TPU 龍膽藍,images/aks_colorppf_GTPU-0271.jpg
0273,TPU 深瑪瑙,images/aks_colorppf_GTPU-0273.jpg
0276,TPU 錦緞紅,images/aks_colorppf_GTPU-0276.jpg
0277,TPU 珍珠白,images/aks_colorppf_GTPU-0277.jpg
0278,TPU 漢玉白,images/aks_colorppf_GTPU-0278.jpg
0280,TPU 曜岩黑,images/aks_colorppf_GTPU-0280.jpg
0281,TPU 金屬黑玫瑰,images/aks_colorppf_GTPU-0281.jpg
0282,TPU 貝爾尼納灰,images/aks_colorppf_GTPU-0282.jpg
0283,TPU 珊瑚橘,images/aks_colorppf_GTPU-0283.jpg
